ds,y
196300800,40
196387200,36
196473600,34
196560000,18
196646400,38
196732800,40
196819200,24
196905600,35
196992000,36
197078400,27
197164800,38
197251200,24
197337600,26
197424000,31
197510400,34
197596800,32
197683200,22
197769600,36
197856000,24
197942400,40
198028800,34
198115200,21
198201600,30
198288000,32
198374400,31
198460800,24
198547200,35
198633600,37
198720000,29
198806400,31
198892800,20
198979200,36
199065600,41
199152000,28
199238400,25
199324800,37
199411200,18
199497600,39
199584000,20
199670400,30
199756800,34
199843200,26
199929600,31
200016000,38
200102400,24
200188800,40
200275200,24
200361600,26
200448000,28
200534400,17
200620800,23
200707200,24
200793600,20
200880000,21
200966400,28
201052800,23
201139200,19
201225600,31
201312000,33
201398400,27
